video_path,label,identity,dataset,split
E:\FaceForencis++\original\879.mp4,real,879,FFPP_REAL,test
E:\FaceForencis++\original\334.mp4,real,334,FFPP_REAL,train
E:\FaceForencis++\original\016.mp4,real,016,FFPP_REAL,test
E:\FaceForencis++\original\202.mp4,real,202,FFPP_REAL,train
E:\FaceForencis++\original\001.mp4,real,001,FFPP_REAL,train
E:\FaceForencis++\original\038.mp4,real,038,FFPP_REAL,val
E:\FaceForencis++\original\290.mp4,real,290,FFPP_REAL,train
E:\FaceForencis++\original\493.mp4,real,493,FFPP_REAL,train
E:\FaceForencis++\original\247.mp4,real,247,FFPP_REAL,train
E:\FaceForencis++\original\506.mp4,real,506,FFPP_REAL,train
E:\FaceForencis++\original\896.mp4,real,896,FFPP_REAL,train
E:\FaceForencis++\original\713.mp4,real,713,FFPP_REAL,test
E:\FaceForencis++\original\891.mp4,real,891,FFPP_REAL,train
E:\FaceForencis++\original\076.mp4,real,076,FFPP_REAL,test
E:\FaceForencis++\original\911.mp4,real,911,FFPP_REAL,train
E:\FaceForencis++\original\792.mp4,real,792,FFPP_REAL,train
E:\FaceForencis++\original\508.mp4,real,508,FFPP_REAL,test
E:\FaceForencis++\original\177.mp4,real,177,FFPP_REAL,train
E:\FaceForencis++\original\842.mp4,real,842,FFPP_REAL,val
E:\FaceForencis++\original\200.mp4,real,200,FFPP_REAL,train
E:\FaceForencis++\original\765.mp4,real,765,FFPP_REAL,train
E:\FaceForencis++\original\909.mp4,real,909,FFPP_REAL,val
E:\FaceForencis++\original\293.mp4,real,293,FFPP_REAL,train
E:\FaceForencis++\original\538.mp4,real,538,FFPP_REAL,train
E:\FaceForencis++\original\024.mp4,real,024,FFPP_REAL,train
E:\FaceForencis++\original\694.mp4,real,694,FFPP_REAL,train
E:\FaceForencis++\original\210.mp4,real,210,FFPP_REAL,train
E:\FaceForencis++\original\424.mp4,real,424,FFPP_REAL,train
E:\FaceForencis++\original\528.mp4,real,528,FFPP_REAL,train
E:\FaceForencis++\original\034.mp4,real,034,FFPP_REAL,train
E:\FaceForencis++\original\928.mp4,real,928,FFPP_REAL,train
E:\FaceForencis++\original\398.mp4,real,398,FFPP_REAL,train
E:\FaceForencis++\original\607.mp4,real,607,FFPP_REAL,train
E:\FaceForencis++\original\298.mp4,real,298,FFPP_REAL,train
E:\FaceForencis++\original\848.mp4,real,848,FFPP_REAL,test
E:\FaceForencis++\original\668.mp4,real,668,FFPP_REAL,val
E:\FaceForencis++\original\282.mp4,real,282,FFPP_REAL,val
E:\FaceForencis++\original\939.mp4,real,939,FFPP_REAL,train
E:\FaceForencis++\original\944.mp4,real,944,FFPP_REAL,train
E:\FaceForencis++\original\606.mp4,real,606,FFPP_REAL,train
E:\FaceForencis++\original\959.mp4,real,959,FFPP_REAL,train
E:\FaceForencis++\original\934.mp4,real,934,FFPP_REAL,train
E:\FaceForencis++\original\731.mp4,real,731,FFPP_REAL,test
E:\FaceForencis++\original\287.mp4,real,287,FFPP_REAL,train
E:\FaceForencis++\original\527.mp4,real,527,FFPP_REAL,test
E:\FaceForencis++\original\807.mp4,real,807,FFPP_REAL,train
E:\FaceForencis++\original\229.mp4,real,229,FFPP_REAL,val
E:\FaceForencis++\original\436.mp4,real,436,FFPP_REAL,train
E:\FaceForencis++\original\028.mp4,real,028,FFPP_REAL,val
E:\FaceForencis++\original\374.mp4,real,374,FFPP_REAL,train
E:\FaceForencis++\original\819.mp4,real,819,FFPP_REAL,test
E:\FaceForencis++\original\316.mp4,real,316,FFPP_REAL,train
E:\FaceForencis++\original\560.mp4,real,560,FFPP_REAL,train
E:\FaceForencis++\original\241.mp4,real,241,FFPP_REAL,train
E:\FaceForencis++\original\149.mp4,real,149,FFPP_REAL,train
E:\FaceForencis++\original\516.mp4,real,516,FFPP_REAL,train
E:\FaceForencis++\original\417.mp4,real,417,FFPP_REAL,train
E:\FaceForencis++\original\660.mp4,real,660,FFPP_REAL,train
E:\FaceForencis++\original\198.mp4,real,198,FFPP_REAL,test
E:\FaceForencis++\original\585.mp4,real,585,FFPP_REAL,train
E:\FaceForencis++\original\325.mp4,real,325,FFPP_REAL,train
E:\FaceForencis++\original\823.mp4,real,823,FFPP_REAL,val
E:\FaceForencis++\original\702.mp4,real,702,FFPP_REAL,train
E:\FaceForencis++\original\949.mp4,real,949,FFPP_REAL,val
E:\FaceForencis++\original\515.mp4,real,515,FFPP_REAL,test
E:\FaceForencis++\original\864.mp4,real,864,FFPP_REAL,train
E:\FaceForencis++\original\836.mp4,real,836,FFPP_REAL,train
E:\FaceForencis++\original\877.mp4,real,877,FFPP_REAL,train
E:\FaceForencis++\original\359.mp4,real,359,FFPP_REAL,train
E:\FaceForencis++\original\594.mp4,real,594,FFPP_REAL,train
E:\FaceForencis++\original\788.mp4,real,788,FFPP_REAL,val
E:\FaceForencis++\original\188.mp4,real,188,FFPP_REAL,train
E:\FaceForencis++\original\066.mp4,real,066,FFPP_REAL,train
E:\FaceForencis++\original\355.mp4,real,355,FFPP_REAL,train
E:\FaceForencis++\original\799.mp4,real,799,FFPP_REAL,train
E:\FaceForencis++\original\902.mp4,real,902,FFPP_REAL,test
E:\FaceForencis++\original\920.mp4,real,920,FFPP_REAL,test
E:\FaceForencis++\original\942.mp4,real,942,FFPP_REAL,train
E:\FaceForencis++\original\330.mp4,real,330,FFPP_REAL,train
E:\FaceForencis++\original\727.mp4,real,727,FFPP_REAL,train
E:\FaceForencis++\original\396.mp4,real,396,FFPP_REAL,train
E:\FaceForencis++\original\463.mp4,real,463,FFPP_REAL,train
E:\FaceForencis++\original\393.mp4,real,393,FFPP_REAL,val
E:\FaceForencis++\original\311.mp4,real,311,FFPP_REAL,train
E:\FaceForencis++\original\680.mp4,real,680,FFPP_REAL,train
E:\FaceForencis++\original\744.mp4,real,744,FFPP_REAL,train
E:\FaceForencis++\original\921.mp4,real,921,FFPP_REAL,train
E:\FaceForencis++\original\461.mp4,real,461,FFPP_REAL,train
E:\FaceForencis++\original\522.mp4,real,522,FFPP_REAL,train
E:\FaceForencis++\original\631.mp4,real,631,FFPP_REAL,train
E:\FaceForencis++\original\490.mp4,real,490,FFPP_REAL,test
E:\FaceForencis++\original\195.mp4,real,195,FFPP_REAL,train
E:\FaceForencis++\original\256.mp4,real,256,FFPP_REAL,train
E:\FaceForencis++\original\693.mp4,real,693,FFPP_REAL,test
E:\FaceForencis++\original\740.mp4,real,740,FFPP_REAL,train
E:\FaceForencis++\original\577.mp4,real,577,FFPP_REAL,train
E:\FaceForencis++\original\157.mp4,real,157,FFPP_REAL,train
E:\FaceForencis++\original\612.mp4,real,612,FFPP_REAL,train
E:\FaceForencis++\original\392.mp4,real,392,FFPP_REAL,test
E:\FaceForencis++\original\969.mp4,real,969,FFPP_REAL,train
E:\FaceForencis++\original\688.mp4,real,688,FFPP_REAL,train
E:\FaceForencis++\original\361.mp4,real,361,FFPP_REAL,train
E:\FaceForencis++\original\816.mp4,real,816,FFPP_REAL,train
E:\FaceForencis++\original\401.mp4,real,401,FFPP_REAL,test
E:\FaceForencis++\original\092.mp4,real,092,FFPP_REAL,train
E:\FaceForencis++\original\917.mp4,real,917,FFPP_REAL,val
E:\FaceForencis++\original\489.mp4,real,489,FFPP_REAL,train
E:\FaceForencis++\original\451.mp4,real,451,FFPP_REAL,train
E:\FaceForencis++\original\251.mp4,real,251,FFPP_REAL,train
E:\FaceForencis++\original\653.mp4,real,653,FFPP_REAL,test
E:\FaceForencis++\original\769.mp4,real,769,FFPP_REAL,test
E:\FaceForencis++\original\670.mp4,real,670,FFPP_REAL,train
E:\FaceForencis++\original\129.mp4,real,129,FFPP_REAL,train
E:\FaceForencis++\original\637.mp4,real,637,FFPP_REAL,train
E:\FaceForencis++\original\991.mp4,real,991,FFPP_REAL,test
E:\FaceForencis++\original\342.mp4,real,342,FFPP_REAL,train
E:\FaceForencis++\original\308.mp4,real,308,FFPP_REAL,train
E:\FaceForencis++\original\136.mp4,real,136,FFPP_REAL,train
E:\FaceForencis++\original\088.mp4,real,088,FFPP_REAL,train
E:\FaceForencis++\original\327.mp4,real,327,FFPP_REAL,test
E:\FaceForencis++\original\475.mp4,real,475,FFPP_REAL,train
E:\FaceForencis++\original\981.mp4,real,981,FFPP_REAL,train
E:\FaceForencis++\original\850.mp4,real,850,FFPP_REAL,train
E:\FaceForencis++\original\892.mp4,real,892,FFPP_REAL,val
E:\FaceForencis++\original\375.mp4,real,375,FFPP_REAL,train
E:\FaceForencis++\original\178.mp4,real,178,FFPP_REAL,train
E:\FaceForencis++\original\026.mp4,real,026,FFPP_REAL,train
E:\FaceForencis++\original\349.mp4,real,349,FFPP_REAL,val
E:\FaceForencis++\original\499.mp4,real,499,FFPP_REAL,train
E:\FaceForencis++\original\474.mp4,real,474,FFPP_REAL,train
E:\FaceForencis++\original\617.mp4,real,617,FFPP_REAL,train
E:\FaceForencis++\original\697.mp4,real,697,FFPP_REAL,test
E:\FaceForencis++\original\050.mp4,real,050,FFPP_REAL,train
E:\FaceForencis++\original\211.mp4,real,211,FFPP_REAL,test
E:\FaceForencis++\original\381.mp4,real,381,FFPP_REAL,test
E:\FaceForencis++\original\883.mp4,real,883,FFPP_REAL,train
E:\FaceForencis++\original\173.mp4,real,173,FFPP_REAL,train
E:\FaceForencis++\original\147.mp4,real,147,FFPP_REAL,train
E:\FaceForencis++\original\419.mp4,real,419,FFPP_REAL,test
E:\FaceForencis++\original\961.mp4,real,961,FFPP_REAL,train
E:\FaceForencis++\original\148.mp4,real,148,FFPP_REAL,train
E:\FaceForencis++\original\975.mp4,real,975,FFPP_REAL,train
E:\FaceForencis++\original\079.mp4,real,079,FFPP_REAL,train
E:\FaceForencis++\original\775.mp4,real,775,FFPP_REAL,test
E:\FaceForencis++\original\302.mp4,real,302,FFPP_REAL,val
E:\FaceForencis++\original\995.mp4,real,995,FFPP_REAL,val
E:\FaceForencis++\original\525.mp4,real,525,FFPP_REAL,train
E:\FaceForencis++\original\774.mp4,real,774,FFPP_REAL,train
E:\FaceForencis++\original\231.mp4,real,231,FFPP_REAL,train
E:\FaceForencis++\original\625.mp4,real,625,FFPP_REAL,train
E:\FaceForencis++\original\800.mp4,real,800,FFPP_REAL,train
E:\FaceForencis++\original\561.mp4,real,561,FFPP_REAL,train
E:\FaceForencis++\original\509.mp4,real,509,FFPP_REAL,train
E:\FaceForencis++\original\840.mp4,real,840,FFPP_REAL,val
E:\FaceForencis++\original\494.mp4,real,494,FFPP_REAL,train
E:\FaceForencis++\original\119.mp4,real,119,FFPP_REAL,val
E:\FaceForencis++\original\477.mp4,real,477,FFPP_REAL,val
E:\FaceForencis++\original\144.mp4,real,144,FFPP_REAL,train
E:\FaceForencis++\original\029.mp4,real,029,FFPP_REAL,train
E:\FaceForencis++\original\910.mp4,real,910,FFPP_REAL,train
E:\FaceForencis++\original\121.mp4,real,121,FFPP_REAL,train
E:\FaceForencis++\original\605.mp4,real,605,FFPP_REAL,train
E:\FaceForencis++\original\061.mp4,real,061,FFPP_REAL,train
E:\FaceForencis++\original\871.mp4,real,871,FFPP_REAL,train
E:\FaceForencis++\original\572.mp4,real,572,FFPP_REAL,train
E:\FaceForencis++\original\005.mp4,real,005,FFPP_REAL,train
E:\FaceForencis++\original\926.mp4,real,926,FFPP_REAL,test
E:\FaceForencis++\original\639.mp4,real,639,FFPP_REAL,train
E:\FaceForencis++\original\439.mp4,real,439,FFPP_REAL,test
E:\FaceForencis++\original\729.mp4,real,729,FFPP_REAL,train
E:\FaceForencis++\original\193.mp4,real,193,FFPP_REAL,train
E:\FaceForencis++\original\752.mp4,real,752,FFPP_REAL,train
E:\FaceForencis++\original\626.mp4,real,626,FFPP_REAL,test
E:\FaceForencis++\original\571.mp4,real,571,FFPP_REAL,train
E:\FaceForencis++\original\017.mp4,real,017,FFPP_REAL,val
E:\FaceForencis++\original\742.mp4,real,742,FFPP_REAL,val
E:\FaceForencis++\original\914.mp4,real,914,FFPP_REAL,train
E:\FaceForencis++\original\510.mp4,real,510,FFPP_REAL,train
E:\FaceForencis++\original\573.mp4,real,573,FFPP_REAL,test
E:\FaceForencis++\original\138.mp4,real,138,FFPP_REAL,val
E:\FaceForencis++\original\191.mp4,real,191,FFPP_REAL,train
E:\FaceForencis++\original\004.mp4,real,004,FFPP_REAL,train
E:\FaceForencis++\original\443.mp4,real,443,FFPP_REAL,test
E:\FaceForencis++\original\020.mp4,real,020,FFPP_REAL,train
E:\FaceForencis++\original\213.mp4,real,213,FFPP_REAL,train
E:\FaceForencis++\original\064.mp4,real,064,FFPP_REAL,train
E:\FaceForencis++\original\411.mp4,real,411,FFPP_REAL,train
E:\FaceForencis++\original\301.mp4,real,301,FFPP_REAL,train
E:\FaceForencis++\original\333.mp4,real,333,FFPP_REAL,train
E:\FaceForencis++\original\192.mp4,real,192,FFPP_REAL,val
E:\FaceForencis++\original\664.mp4,real,664,FFPP_REAL,train
E:\FaceForencis++\original\262.mp4,real,262,FFPP_REAL,train
E:\FaceForencis++\original\647.mp4,real,647,FFPP_REAL,train
E:\FaceForencis++\original\810.mp4,real,810,FFPP_REAL,train
E:\FaceForencis++\original\232.mp4,real,232,FFPP_REAL,val
E:\FaceForencis++\original\795.mp4,real,795,FFPP_REAL,train
E:\FaceForencis++\original\681.mp4,real,681,FFPP_REAL,val
E:\FaceForencis++\original\804.mp4,real,804,FFPP_REAL,train
E:\FaceForencis++\original\482.mp4,real,482,FFPP_REAL,train
E:\FaceForencis++\original\360.mp4,real,360,FFPP_REAL,train
E:\FaceForencis++\original\838.mp4,real,838,FFPP_REAL,test
E:\FaceForencis++\original\236.mp4,real,236,FFPP_REAL,train
E:\FaceForencis++\original\627.mp4,real,627,FFPP_REAL,train
E:\FaceForencis++\original\957.mp4,real,957,FFPP_REAL,train
E:\FaceForencis++\original\582.mp4,real,582,FFPP_REAL,train
E:\FaceForencis++\original\272.mp4,real,272,FFPP_REAL,test
E:\FaceForencis++\original\201.mp4,real,201,FFPP_REAL,val
E:\FaceForencis++\original\013.mp4,real,013,FFPP_REAL,train
E:\FaceForencis++\original\427.mp4,real,427,FFPP_REAL,train
E:\FaceForencis++\original\239.mp4,real,239,FFPP_REAL,test
E:\FaceForencis++\original\084.mp4,real,084,FFPP_REAL,test
E:\FaceForencis++\original\532.mp4,real,532,FFPP_REAL,train
E:\FaceForencis++\original\172.mp4,real,172,FFPP_REAL,test
E:\FaceForencis++\original\289.mp4,real,289,FFPP_REAL,train
E:\FaceForencis++\original\485.mp4,real,485,FFPP_REAL,train
E:\FaceForencis++\original\329.mp4,real,329,FFPP_REAL,train
E:\FaceForencis++\original\683.mp4,real,683,FFPP_REAL,train
E:\FaceForencis++\original\318.mp4,real,318,FFPP_REAL,val
E:\FaceForencis++\original\454.mp4,real,454,FFPP_REAL,train
E:\FaceForencis++\original\249.mp4,real,249,FFPP_REAL,train
E:\FaceForencis++\original\846.mp4,real,846,FFPP_REAL,train
E:\FaceForencis++\original\279.mp4,real,279,FFPP_REAL,test
E:\FaceForencis++\original\455.mp4,real,455,FFPP_REAL,train
E:\FaceForencis++\original\901.mp4,real,901,FFPP_REAL,train
E:\FaceForencis++\original\761.mp4,real,761,FFPP_REAL,val
E:\FaceForencis++\original\547.mp4,real,547,FFPP_REAL,train
E:\FaceForencis++\original\180.mp4,real,180,FFPP_REAL,val
E:\FaceForencis++\original\557.mp4,real,557,FFPP_REAL,val
E:\FaceForencis++\original\628.mp4,real,628,FFPP_REAL,train
E:\FaceForencis++\original\423.mp4,real,423,FFPP_REAL,train
E:\FaceForencis++\original\843.mp4,real,843,FFPP_REAL,train
E:\FaceForencis++\original\010.mp4,real,010,FFPP_REAL,test
E:\FaceForencis++\original\199.mp4,real,199,FFPP_REAL,val
E:\FaceForencis++\original\425.mp4,real,425,FFPP_REAL,test
E:\FaceForencis++\original\534.mp4,real,534,FFPP_REAL,train
E:\FaceForencis++\original\031.mp4,real,031,FFPP_REAL,train
E:\FaceForencis++\original\579.mp4,real,579,FFPP_REAL,train
E:\FaceForencis++\original\404.mp4,real,404,FFPP_REAL,train
E:\FaceForencis++\original\277.mp4,real,277,FFPP_REAL,test
E:\FaceForencis++\original\444.mp4,real,444,FFPP_REAL,train
E:\FaceForencis++\original\771.mp4,real,771,FFPP_REAL,train
E:\FaceForencis++\original\372.mp4,real,372,FFPP_REAL,test
E:\FaceForencis++\original\722.mp4,real,722,FFPP_REAL,train
E:\FaceForencis++\original\400.mp4,real,400,FFPP_REAL,train
E:\FaceForencis++\original\078.mp4,real,078,FFPP_REAL,val
E:\FaceForencis++\original\537.mp4,real,537,FFPP_REAL,val
E:\FaceForencis++\original\575.mp4,real,575,FFPP_REAL,train
E:\FaceForencis++\original\548.mp4,real,548,FFPP_REAL,val
E:\FaceForencis++\original\710.mp4,real,710,FFPP_REAL,train
E:\FaceForencis++\original\041.mp4,real,041,FFPP_REAL,train
E:\FaceForencis++\original\885.mp4,real,885,FFPP_REAL,train
E:\FaceForencis++\original\632.mp4,real,632,FFPP_REAL,val
E:\FaceForencis++\original\858.mp4,real,858,FFPP_REAL,train
E:\FaceForencis++\original\139.mp4,real,139,FFPP_REAL,train
E:\FaceForencis++\original\385.mp4,real,385,FFPP_REAL,train
E:\FaceForencis++\original\456.mp4,real,456,FFPP_REAL,train
E:\FaceForencis++\original\932.mp4,real,932,FFPP_REAL,train
E:\FaceForencis++\original\813.mp4,real,813,FFPP_REAL,val
E:\FaceForencis++\original\140.mp4,real,140,FFPP_REAL,test
E:\FaceForencis++\original\624.mp4,real,624,FFPP_REAL,val
E:\FaceForencis++\original\320.mp4,real,320,FFPP_REAL,train
E:\FaceForencis++\original\708.mp4,real,708,FFPP_REAL,train
E:\FaceForencis++\original\457.mp4,real,457,FFPP_REAL,train
E:\FaceForencis++\original\873.mp4,real,873,FFPP_REAL,train
E:\FaceForencis++\original\326.mp4,real,326,FFPP_REAL,train
E:\FaceForencis++\original\126.mp4,real,126,FFPP_REAL,train
E:\FaceForencis++\original\132.mp4,real,132,FFPP_REAL,test
E:\FaceForencis++\original\817.mp4,real,817,FFPP_REAL,val
E:\FaceForencis++\original\397.mp4,real,397,FFPP_REAL,train
E:\FaceForencis++\original\915.mp4,real,915,FFPP_REAL,train
E:\FaceForencis++\original\993.mp4,real,993,FFPP_REAL,train
E:\FaceForencis++\original\415.mp4,real,415,FFPP_REAL,train
E:\FaceForencis++\original\595.mp4,real,595,FFPP_REAL,train
E:\FaceForencis++\original\258.mp4,real,258,FFPP_REAL,train
E:\FaceForencis++\original\313.mp4,real,313,FFPP_REAL,val
E:\FaceForencis++\original\409.mp4,real,409,FFPP_REAL,train
E:\FaceForencis++\original\162.mp4,real,162,FFPP_REAL,train
E:\FaceForencis++\original\304.mp4,real,304,FFPP_REAL,test
E:\FaceForencis++\original\286.mp4,real,286,FFPP_REAL,train
E:\FaceForencis++\original\644.mp4,real,644,FFPP_REAL,val
E:\FaceForencis++\original\635.mp4,real,635,FFPP_REAL,train
E:\FaceForencis++\original\353.mp4,real,353,FFPP_REAL,val
E:\FaceForencis++\original\068.mp4,real,068,FFPP_REAL,train
E:\FaceForencis++\original\678.mp4,real,678,FFPP_REAL,train
E:\FaceForencis++\original\833.mp4,real,833,FFPP_REAL,train
E:\FaceForencis++\original\935.mp4,real,935,FFPP_REAL,val
E:\FaceForencis++\original\679.mp4,real,679,FFPP_REAL,val
E:\FaceForencis++\original\719.mp4,real,719,FFPP_REAL,train
E:\FaceForencis++\original\237.mp4,real,237,FFPP_REAL,val
E:\FaceForencis++\original\265.mp4,real,265,FFPP_REAL,test
E:\FaceForencis++\original\090.mp4,real,090,FFPP_REAL,val
E:\FaceForencis++\original\835.mp4,real,835,FFPP_REAL,train
E:\FaceForencis++\original\862.mp4,real,862,FFPP_REAL,train
E:\FaceForencis++\original\054.mp4,real,054,FFPP_REAL,val
E:\FaceForencis++\original\657.mp4,real,657,FFPP_REAL,train
E:\FaceForencis++\original\943.mp4,real,943,FFPP_REAL,train
E:\FaceForencis++\original\406.mp4,real,406,FFPP_REAL,val
E:\FaceForencis++\original\380.mp4,real,380,FFPP_REAL,train
E:\FaceForencis++\original\124.mp4,real,124,FFPP_REAL,test
E:\FaceForencis++\original\491.mp4,real,491,FFPP_REAL,train
E:\FaceForencis++\original\802.mp4,real,802,FFPP_REAL,test
E:\FaceForencis++\original\900.mp4,real,900,FFPP_REAL,train
E:\FaceForencis++\original\430.mp4,real,430,FFPP_REAL,val
E:\FaceForencis++\original\945.mp4,real,945,FFPP_REAL,train
E:\FaceForencis++\original\703.mp4,real,703,FFPP_REAL,train
E:\FaceForencis++\original\294.mp4,real,294,FFPP_REAL,test
E:\FaceForencis++\original\878.mp4,real,878,FFPP_REAL,test
E:\FaceForencis++\original\212.mp4,real,212,FFPP_REAL,train
E:\FaceForencis++\original\918.mp4,real,918,FFPP_REAL,train
E:\FaceForencis++\original\037.mp4,real,037,FFPP_REAL,test
E:\FaceForencis++\original\860.mp4,real,860,FFPP_REAL,train
E:\FaceForencis++\original\898.mp4,real,898,FFPP_REAL,train
E:\FaceForencis++\original\125.mp4,real,125,FFPP_REAL,val
E:\FaceForencis++\original\023.mp4,real,023,FFPP_REAL,train
E:\FaceForencis++\original\839.mp4,real,839,FFPP_REAL,train
E:\FaceForencis++\original\976.mp4,real,976,FFPP_REAL,test
E:\FaceForencis++\original\101.mp4,real,101,FFPP_REAL,val
E:\FaceForencis++\original\115.mp4,real,115,FFPP_REAL,val
E:\FaceForencis++\original\435.mp4,real,435,FFPP_REAL,train
E:\FaceForencis++\original\950.mp4,real,950,FFPP_REAL,train
E:\FaceForencis++\original\120.mp4,real,120,FFPP_REAL,train
E:\FaceForencis++\original\384.mp4,real,384,FFPP_REAL,train
E:\FaceForencis++\original\047.mp4,real,047,FFPP_REAL,train
E:\FaceForencis++\original\171.mp4,real,171,FFPP_REAL,train
E:\FaceForencis++\original\317.mp4,real,317,FFPP_REAL,train
E:\FaceForencis++\original\324.mp4,real,324,FFPP_REAL,train
E:\FaceForencis++\original\880.mp4,real,880,FFPP_REAL,train
E:\FaceForencis++\original\263.mp4,real,263,FFPP_REAL,train
E:\FaceForencis++\original\145.mp4,real,145,FFPP_REAL,train
E:\FaceForencis++\original\043.mp4,real,043,FFPP_REAL,test
E:\FaceForencis++\original\504.mp4,real,504,FFPP_REAL,train
E:\FaceForencis++\original\086.mp4,real,086,FFPP_REAL,train
E:\FaceForencis++\original\376.mp4,real,376,FFPP_REAL,train
E:\FaceForencis++\original\530.mp4,real,530,FFPP_REAL,test
E:\FaceForencis++\original\984.mp4,real,984,FFPP_REAL,train
E:\FaceForencis++\original\851.mp4,real,851,FFPP_REAL,train
E:\FaceForencis++\original\345.mp4,real,345,FFPP_REAL,train
E:\FaceForencis++\original\403.mp4,real,403,FFPP_REAL,train
E:\FaceForencis++\original\226.mp4,real,226,FFPP_REAL,train
E:\FaceForencis++\original\987.mp4,real,987,FFPP_REAL,train
E:\FaceForencis++\original\164.mp4,real,164,FFPP_REAL,train
E:\FaceForencis++\original\335.mp4,real,335,FFPP_REAL,train
E:\FaceForencis++\original\600.mp4,real,600,FFPP_REAL,train
E:\FaceForencis++\original\916.mp4,real,916,FFPP_REAL,train
E:\FaceForencis++\original\472.mp4,real,472,FFPP_REAL,train
